ds_clean,response_mode,method,dependent_measure,looking,behavioral_measure,note
Label advantage in concept learning,eye-tracking,forced-choice,looking_time,yes,looking,
Label advantage in concept learning,behavior,forced-choice,target_selection,no,other,
Label advantage in concept learning,behavior,forced-choice,exploration_time,no,other,check if manipulation time - yes: https://onlinelibrary.wiley.com/doi/epdf/10.1207/S15327078IN0403_03
Vowel discrimination (native),eye-tracking,anticipatory eye movements,target_selection,yes,other,a new paradigm measuring the correctly anticipated trial; so sort of looking? https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2010.00989.x
Vowel discrimination (native),eye-tracking,stimulus alternation,looking_time,yes,looking,
Vowel discrimination (native),eye-tracking,central fixation,looking_time,yes,looking,
Vowel discrimination (native),behavior,conditioned head-turn,pc_head_turns,no,other,
Vowel discrimination (native),eye-tracking,head-turn preference procedure,looking_time,yes,looking,
Vowel discrimination (native),EEG,oddball,peak_amplitude,no,other,
Vowel discrimination (native),behavior,high-amplitude sucking,sucking_time,no,sucking ,
Vowel discrimination (native),eye-tracking,word-object pairing,looking_time,yes,looking,
Vowel discrimination (native),eye-tracking,looking while listening,looking_time,yes,looking,
Vowel discrimination (native),NIRS,stimulus alternation,laterality_index,no,other ,
Vowel discrimination (native),behavior,conditioned head-turn,d_prime,no,other ,
Vowel discrimination (native),eye-tracking,hybrid visual habituation procedure,looking_time,yes,looking,
Vowel discrimination (non-native),behavior,high-amplitude sucking,sucking_time,no,sucking ,
Vowel discrimination (non-native),eye-tracking,central fixation,looking_time,yes,looking,
Vowel discrimination (non-native),eye-tracking,head-turn preference procedure,looking_time,yes,looking ,
Vowel discrimination (non-native),behavior,conditioned head-turn,pc_head_turns,no,other ,
Vowel discrimination (non-native),eye-tracking,anticipatory eye movements,target_selection,yes,other ,like the thing above
Vowel discrimination (non-native),eye-tracking,stimulus alternation,looking_time,yes,looking,
Vowel discrimination (non-native),NIRS,stimulus alternation,laterality_index,no,other ,
Vowel discrimination (non-native),EEG,oddball,peak_amplitude,no,other,
Vowel discrimination (non-native),eye-tracking,hybrid visual habituation procedure,looking_time,yes,looking,
Statistical word segmentation,behavior,head-turn preference procedure,looking_time,yes,looking,does the behavior vs eye tracking here mean something different? looks like a plain ds measuring looking time
Statistical word segmentation,eye-tracking,central fixation,looking_time,yes,looking,also looks like a regular looking time study? https://onlinelibrary.wiley.com/doi/full/10.1111/j.1551-6709.2010.01118.x
Statistical word segmentation,behavior,central fixation,looking_time,yes,looking,
Online word recognition,eye-tracking,looking while listening,looking_time,yes,looking,
Mutual exclusivity,behavior,forced-choice,target_selection,no,other,
Mutual exclusivity,eye-tracking,forced-choice,target_selection,yes,looking,accuracy in identifying the correct target picture: https://www.sciencedirect.com/science/article/pii/S0010027712001990
Mutual exclusivity,eye-tracking,forced-choice,looking_time_change,yes,looking,
Sound symbolism,behavior,forced-choice,target_selection,no,other ,
Sound symbolism,eye-tracking,central fixation,looking_time,yes,looking,
Sound symbolism,eye-tracking,looking while listening,looking_ratio,yes,looking,
Sound symbolism,eye-tracking,looking while listening,looking_time,yes,looking,
Sound symbolism,EEG,central fixation,peak_amplitude,no,other,
Sound symbolism,eye-tracking,looking while listening,looking_time_change_pc,yes,looking,
Sound symbolism,eye-tracking,forced-choice,target_selection,yes,looking,ask the children to look (https://macsphere.mcmaster.ca/handle/11375/17735)
Categorization bias,behavior,forced-choice,target_selection,no,other,
Familiar word recognition,behavior,head-turn preference procedure,looking_time,yes,looking,
Familiar word recognition,eye-tracking,central fixation,looking_time,yes,looking,
Abstract rule learning,behavior,head-turn preference procedure,looking_time,yes,looking,
Abstract rule learning,behavior,central fixation,looking_time,yes,looking,
Switch task,eye-tracking,central fixation,looking_time,yes,looking,
Mispronunciation sensitivity,eye-tracking,looking while listening,looking_time_change_pc,yes,looking,
Mispronunciation sensitivity,eye-tracking,looking while listening,looking_time_pc,yes,looking,
Mispronunciation sensitivity,eye-tracking,looking while listening,longest_look,yes,looking,
Prosocial agents,behavior,reaching for a target,target_selection,no,other,
Prosocial agents,behavior,offering help to a target,target_selection,no,other,
Simple arithmetic competences,eye-tracking,forced-choice,looking_time,yes,looking,
Symbolic play,other,observational,vocabulary_size,no,other,
Natural speech preference,behavior,head-turn preference procedure,pc_head_turns,no,other,
Natural speech preference,behavior,high-amplitude sucking,sucking_time,no,sucking ,
