ds_clean,response_mode,method,dependent_measure,looking,behavioral_measure,note,
Label advantage in concept learning,eye-tracking,forced-choice,looking_time,yes,looking,,
Label advantage in concept learning,behavior,forced-choice,target_selection,no,manual,,
Label advantage in concept learning,behavior,forced-choice,exploration_time,no,looking,,
Vowel discrimination (native),eye-tracking,anticipatory eye movements,target_selection,yes,looking,,
Vowel discrimination (native),eye-tracking,stimulus alternation,looking_time,yes,looking,,
Vowel discrimination (native),eye-tracking,central fixation,looking_time,yes,looking,,
Vowel discrimination (native),behavior,conditioned head-turn,pc_head_turns,no,head_turn,,
Vowel discrimination (native),eye-tracking,head-turn preference procedure,looking_time,yes,looking,,
Vowel discrimination (native),EEG,oddball,peak_amplitude,no,other,,
Vowel discrimination (native),behavior,high-amplitude sucking,sucking_time,no,sucking,,
Vowel discrimination (native),eye-tracking,word-object pairing,looking_time,yes,looking,,
Vowel discrimination (native),eye-tracking,looking while listening,looking_time,yes,looking,,
Vowel discrimination (native),NIRS,stimulus alternation,laterality_index,no,other,,
Vowel discrimination (native),behavior,conditioned head-turn,d_prime,no,head_turn,,
Vowel discrimination (native),eye-tracking,hybrid visual habituation procedure,looking_time,yes,looking,,
Vowel discrimination (non-native),behavior,high-amplitude sucking,sucking_time,no,sucking,,
Vowel discrimination (non-native),eye-tracking,central fixation,looking_time,yes,looking,,
Vowel discrimination (non-native),eye-tracking,head-turn preference procedure,looking_time,yes,looking,,
Vowel discrimination (non-native),behavior,conditioned head-turn,pc_head_turns,no,head_turn,,
Vowel discrimination (non-native),eye-tracking,anticipatory eye movements,target_selection,yes,looking,,
Vowel discrimination (non-native),eye-tracking,stimulus alternation,looking_time,yes,looking,,
Vowel discrimination (non-native),NIRS,stimulus alternation,laterality_index,no,other,,
Vowel discrimination (non-native),EEG,oddball,peak_amplitude,no,other,,
Vowel discrimination (non-native),eye-tracking,hybrid visual habituation procedure,looking_time,yes,looking,,
Statistical word segmentation,behavior,head-turn preference procedure,looking_time,yes,looking,,
Statistical word segmentation,eye-tracking,central fixation,looking_time,yes,looking,,
Statistical word segmentation,behavior,central fixation,looking_time,yes,looking,,
