ds_clean,long_cite,short_cite,same_infant,study_ID,unique_row,d_calc,d_var_calc,mean_age_months,response_mode,behavioral_measure,stimuli_naturalness,exposure_phase
Abstract rule learning,"Bahlmann, M & Levelt, C.c. Is rule learning facilitated by stimuli with low variability? Leiden University MSc thesis, 2016",Bahlmann & Levelt (2016),SpeechABAvsABB,Bahlmann2016,1,0.03866872203839965,0.00807476350320415,7.06380007803035,behavior,looking,natural,familiarization
Abstract rule learning,"Bulf, H., Brenna, V., Valenza, E., Johnson, S. P., & Turati, C. (2015). Many faces, one rule: the role of perceptual expertise in infants’ sequential rule learning.  Front Psychol. ; 6: 1595.",Bulf et al (2015),UprightFacesABB,Bulf2015,2,0.4040653636171624,0.02668437700220794,7.39234891886897,behavior,looking,artificial,habituation
Abstract rule learning,"Bulf, H., Brenna, V., Valenza, E., Johnson, S. P., & Turati, C. (2015). Many faces, one rule: the role of perceptual expertise in infants’ sequential rule learning.  Front Psychol. ; 6: 1595.",Bulf et al (2015),UprightFacesABA,Bulf2015,3,0.33979010179435964,0.05698492536881726,7.39234891886897,behavior,looking,artificial,habituation
Abstract rule learning,"Bulf, H., Brenna, V., Valenza, E., Johnson, S. P., & Turati, C. (2015). Many faces, one rule: the role of perceptual expertise in infants’ sequential rule learning.  Front Psychol. ; 6: 1595.",Bulf et al (2015),InvertedFacesABB,Bulf2015,4,-0.4093236446152055,0.07698738461225209,7.39234891886897,behavior,looking,artificial,habituation
Abstract rule learning,"Bulf, H., Brenna, V., Valenza, E., Johnson, S. P., & Turati, C. (2015). Many faces, one rule: the role of perceptual expertise in infants’ sequential rule learning.  Front Psychol. ; 6: 1595.",Bulf et al (2015),InvertedFacesABA,Bulf2015,5,0.00298857855735218,0.10322247032227204,7.39234891886897,behavior,looking,artificial,habituation
Abstract rule learning,"Bulf, H., Brenna, V., Valenza, E., Johnson, S. P., & Turati, C. (2015). Many faces, one rule: the role of perceptual expertise in infants’ sequential rule learning.  Front Psychol. ; 6: 1595.",Bulf et al (2017),LeftToRightShapesABB,Bulf2017,6,0.4624096944246004,0.01680696017180788,7.556623339288281,behavior,looking,artificial,habituation
Abstract rule learning,"Bulf, H., Brenna, V., Valenza, E., Johnson, S. P., & Turati, C. (2015). Many faces, one rule: the role of perceptual expertise in infants’ sequential rule learning.  Front Psychol. ; 6: 1595.",Bulf et al (2017),LeftToRightShapesABA,Bulf2017,7,0.937135100848154,0.05344444366380248,7.556623339288281,behavior,looking,artificial,habituation
Abstract rule learning,"Bulf, H., Brenna, V., Valenza, E., Johnson, S. P., & Turati, C. (2015). Many faces, one rule: the role of perceptual expertise in infants’ sequential rule learning.  Front Psychol. ; 6: 1595.",Bulf et al (2017),RightToLeftShapesABB,Bulf2017,8,0.2828951734510959,0.07937592747381017,7.556623339288281,behavior,looking,artificial,habituation
Abstract rule learning,"Bulf, H., Brenna, V., Valenza, E., Johnson, S. P., & Turati, C. (2015). Many faces, one rule: the role of perceptual expertise in infants’ sequential rule learning.  Front Psychol. ; 6: 1595.",Bulf et al (2017),RightToLeftShapesABA,Bulf2017,9,-0.38817187585363866,0.05358366891261665,7.556623339288281,behavior,looking,artificial,habituation
Abstract rule learning,"Dawson C, Gerken, LA (2009). From domain-generality to domain-sensitivity: 4-month-olds learn an abstract repetition rule in music that 7-month-olds do not. Cognition 111.3 : 378-382.",Dawson & Gerken (2009),4mo,Dawson2009,10,0.6738991022400904,0.07928166666666667,3.909731205979589,behavior,looking,artificial,familiarization
Abstract rule learning,"Dawson C, Gerken, LA (2009). From domain-generality to domain-sensitivity: 4-month-olds learn an abstract repetition rule in music that 7-month-olds do not. Cognition 111.3 : 378-382.",Dawson & Gerken (2009),7.5mo,Dawson2009,11,0.05715767664977296,0.03009075,7.359494034785109,behavior,looking,artificial,familiarization
Abstract rule learning,"Dawson C, Gerken, LA (2009). From domain-generality to domain-sensitivity: 4-month-olds learn an abstract repetition rule in music that 7-month-olds do not. Cognition 111.3 : 378-382.",Dawson & Gerken (2009),4mo,Dawson2009,12,0.6010407640085654,0.06559027777777778,4.139715394566624,behavior,looking,artificial,familiarization
Abstract rule learning,"Dawson C, Gerken, LA (2009). From domain-generality to domain-sensitivity: 4-month-olds learn an abstract repetition rule in music that 7-month-olds do not. Cognition 111.3 : 378-382.",Dawson & Gerken (2009),7.5mo,Dawson2009,13,0.1144727041700335,0.10147511111111111,7.589478223372143,behavior,looking,artificial,familiarization
Abstract rule learning,"Ferguson, B. & Waxman, S. Visual abstract rule learning by 3- and 4-month-old infants Cognitive Science Society 2015",Ferguson & Waxman (2016),SilenceABA,Ferguson2015,14,-0.21639256499862355,0.13234128710933418,4.271134930902072,behavior,looking,artificial,habituation
