ds_clean,native_lang,infant_type,infant_type_clincal,infant_type_language,infant_native_lang,response_mode,method,dependent_measure,looking,behavioral_measure,unique_row,study_ID,long_cite,short_cite,peer_reviewed,coder,expt_num,expt_condition,same_infant,exposure_phase,participant_design,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,t,F,r,d,d_var,corr,test_lang,stimuli_link,data_link,age_range_1,age_range_2,n_excluded_1,n_excluded_2,gender_1,gender_2,num_trials,special_cases_measures,x_dif,SD_dif,contrast_sampa,audio_condition,speaker,speech_type,object_stimulus,cue_type,N_AFC,mean_comprehension_vocab,mean_production_vocab,pointing_modality,motive,correlation_type,condition_type,stimulus_naturalness,contrast_pseudoIPA,sampa_comments,counterbalanced,backness,height,nasality,roundness,tenseness,length,F1_1,F2_1,F1_2,F2_2,duration_word_1,duration_word_2,duration_vowel_1,duration_vowel_2,peripherality,Linguistic,words_to_passage,edge_alignment,familiarization_voice,familiarization_register,familiarization_affect,test_voice,test_register,indexical,rule.type,repetitions,types,tokens,expt_condition2,word_round,word_spiky,multiple_age_groups_younger_older,replication,native,label_present,instruction_code,taxonomic_type,tokens_per_trial,word_types_per_cond,publication_type,main_or_baseline_study,Modality,Semantics,TrainingRule,Speech,Nonspeech,CorrectPronunciation,Mispronunciation,is_correct,n_feature,type_feature,mispron_location,scenarios,Hamlin_Lab,stimuli_type,minimal_pairs,cues_present,word_typicality,ME_trial_type,preceding,task_difficulty,median_production_vocab,sentence_structure,agent_argument_type,patient_argument_type,stimuli_modality,stimuli_actor,transitive_event,intransitive_event,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,n_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,learning_domain,live_video,task,rhythm_class,speech_manip,percentV,deltaC,deltaV,VarcoV,nPVI_V,rPVI_C,corr_imputed,dataset,short_name,domain,d_calc,d_var_calc,g_calc,g_var_calc,r_calc,r_var_calc,z_calc,z_var_calc,log_odds_calc,log_odds_var_calc,es_method,mean_age,n,same_infant_calc,all_mod,mean_age_months,year,doi,original_ma,2nd coder,stimulus_set,lab,main_question_IDS_preference,trial_control,human_coded,data_from_figure,effect_significance_reported,fussers,non_criterion,criterion,criterion_definition,exclusionCriteria,num_minimum_trials,mean_vocab,speaker_fam,speaker_experience,speaker_female,presentation,setting,Coder 1 Comments,Coder 2 Comments,by_major_author,major_author
Label advantage in concept learning,American English,typical,typical,monolingual,NA,eye-tracking,forced-choice,looking_time,yes,looking,1,althaus2015,"Althaus, N., & Plunkett, K. (2015). Timing matters: The impact of label synchrony on infant categorisation. Cognition, 139, 1-9.",Althaus & Plunkett (2015),yes,Molly Lewis,1,asynchronous speech,48,familiarization,within_one,experimental,NA,29,NA,372,NA,NA,NA,NA,NA,4.037,NA,NA,1.06,0.08,NA,American English,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,drawings,NA,NA,NA,NA,NA,NA,NA,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Label advantage in concept learning,labadv,early_language,0.7496520802207584,0.04417203864447086,0.7288284113257373,0.04175211986070741,0.35098062717253226,0.00744402456197743,0.3665617158523652,0.03846153846153846,1.3597184665012705,0.14532018233685293,t_one,372,29,althaus2015 48,NA,12.222016879196698,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Label advantage in concept learning,American English,typical,typical,monolingual,NA,eye-tracking,forced-choice,looking_time,yes,looking,2,althaus2015,"Althaus, N., & Plunkett, K. (2015). Timing matters: The impact of label synchrony on infant categorisation. Cognition, 139, 1-9.",Althaus & Plunkett (2015),yes,Molly Lewis,1,silent,47,familiarization,within_one,experimental,NA,29,NA,372,NA,NA,NA,NA,NA,2.13,NA,NA,0.56,0.07,NA,American English,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,drawings,NA,NA,NA,NA,NA,NA,NA,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Label advantage in concept learning,labadv,early_language,0.3955310703171205,0.03718008323424494,0.3845440961416449,0.03514321139039356,0.19400798027267135,0.00828446142568356,0.19649856810038596,0.03846153846153846,0.7174140038760728,0.1223175710405242,t_one,372,29,althaus2015 47,NA,12.222016879196698,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Label advantage in concept learning,American English,typical,typical,monolingual,NA,eye-tracking,forced-choice,looking_time,yes,looking,3,althaus2015,"Althaus, N., & Plunkett, K. (2015). Timing matters: The impact of label synchrony on infant categorisation. Cognition, 139, 1-9.",Althaus & Plunkett (2015),yes,Molly Lewis,1,synchronous speech,49,familiarization,within_one,experimental,NA,29,NA,372,NA,NA,NA,NA,NA,1.066,NA,NA,0.28,0.07,NA,American English,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,drawings,NA,NA,NA,NA,NA,NA,NA,critical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Label advantage in concept learning,labadv,early_language,0.1979512304967373,0.03515835671819262,0.1924525852051613,0.0332322430399583,0.09849435714557107,0.00853625571136895,0.0988147264546446,0.03846153846153846,0.35904381602436325,0.1156663574003145,t_one,372,29,althaus2015 49,NA,12.222016879196698,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Label advantage in concept learning,American English,typical,typical,monolingual,NA,eye-tracking,forced-choice,looking_time,yes,looking,4,balaban1997,"Balaban, M. T., & Waxman, S. R. (1997). Do words facilitate object categorization in 9-month-old infants?. Journal of experimental child psychology, 64(1), 3-26.",Balaban & Waxman (1997),yes,Bria Long,3,content-filtered words,3,familiarization,within_one,experimental,NA,16,NA,292.79,NA,0.59,0.5,NA,NA,2.86,NA,NA,1.01,0.14,NA,American English,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,drawings,NA,NA,NA,NA,NA,NA,NA,critical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Label advantage in concept learning,labadv,early_language,0.715,0.07847578125,0.6766964285714285,0.07029287931481186,0.33663463566939894,0.0136764116916296,0.35029217609279756,0.07692307692307693,1.2968665454274655,0.25817497200130857,t_one,292.79,16,balaban1997 3,NA,9.619581510913982,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Label advantage in concept learning,American English,typical,typical,monolingual,NA,eye-tracking,forced-choice,looking_time,yes,looking,5,balaban1997,"Balaban, M. T., & Waxman, S. R. (1997). Do words facilitate object categorization in 9-month-old infants?. Journal of experimental child psychology, 64(1), 3-26.",Balaban & Waxman (1997),yes,Bria Long,1,tone,1,familiarization,within_one,experimental,NA,12,NA,296.595,NA,0.42,0.5,0.103923049,NA,3,NA,NA,1.22,0.2,NA,American English,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,drawings,NA,NA,NA,NA,NA,NA,NA,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Label advantage in concept learning,labadv,early_language,-0.7698003548760393,0.1080246910986365,-0.7120653282603363,0.09242862632127086,-0.35921060241021346,0.01784305665755544,-0.3759792603861936,0.1111111111111111,-1.3962633942614353,0.355386988897807,group_means_one,296.595,12,balaban1997 1,NA,9.744594344853075,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Label advantage in concept learning,American English,typical,typical,monolingual,NA,eye-tracking,forced-choice,looking_time,yes,looking,6,balaban1997,"Balaban, M. T., & Waxman, S. R. (1997). Do words facilitate object categorization in 9-month-old infants?. Journal of experimental child psychology, 64(1), 3-26.",Balaban & Waxman (1997),yes,Bria Long,2,tone,52,familiarization,within_one,experimental,NA,12,NA,296.595,NA,0.4,0.5,0.207846097,NA,NA,NA,NA,-0.48,0.17,NA,American English,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,drawings,NA,NA,NA,NA,NA,NA,NA,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Label advantage in concept learning,labadv,early_language,-0.4811252241123391,0.09297839505321452,-0.44504083230391367,0.07955463926740668,-0.2338901347649116,0.01963471918133057,-0.23830079102548604,0.1111111111111111,-0.8726646256120062,0.30588665900781037,group_means_one,296.595,12,balaban1997 52,NA,9.744594344853075,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Label advantage in concept learning,American English,typical,typical,monolingual,NA,eye-tracking,forced-choice,looking_time,yes,looking,7,balaban1997,"Balaban, M. T., & Waxman, S. R. (1997). Do words facilitate object categorization in 9-month-old infants?. Journal of experimental child psychology, 64(1), 3-26.",Balaban & Waxman (1997),yes,Bria Long,3,tone,53,familiarization,within_one,experimental,NA,16,NA,292.79,NA,0.5,0.5,0.12,NA,NA,NA,NA,0,0.12,NA,American English,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,drawings,NA,NA,NA,NA,NA,NA,NA,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Label advantage in concept learning,labadv,early_language,0,0.0625,0,0.0559829400510204,0,0.015625,0,0.07692307692307693,0,0.2056167583560283,group_means_one,292.79,16,balaban1997 53,NA,9.619581510913982,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Label advantage in concept learning,American English,typical,typical,monolingual,NA,eye-tracking,forced-choice,looking_time,yes,looking,8,balaban1997,"Balaban, M. T., & Waxman, S. R. (1997). Do words facilitate object categorization in 9-month-old infants?. Journal of experimental child psychology, 64(1), 3-26.",Balaban & Waxman (1997),yes,Bria Long,3,word,2,familiarization,within_one,experimental,NA,16,NA,292.79,NA,0.6,0.5,NA,NA,3.44,NA,NA,1.22,0.15,NA,American English,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,drawings,NA,NA,NA,NA,NA,NA,NA,critical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Label advantage in concept learning,labadv,early_language,0.86,0.0856125,0.8139285714285713,0.07668543128188775,0.3950277506594153,0.01286566057229716,0.41774349944156297,0.07692307692307693,1.5598674532414272,0.28165383559608753,t_one,292.79,16,balaban1997 2,NA,9.619581510913982,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Label advantage in concept learning,American English,typical,typical,monolingual,NA,eye-tracking,forced-choice,looking_time,yes,looking,9,balaban1997,"Balaban, M. T., & Waxman, S. R. (1997). Do words facilitate object categorization in 9-month-old infants?. Journal of experimental child psychology, 64(1), 3-26.",Balaban & Waxman (1997),yes,Bria Long,1,word,50,familiarization,within_one,experimental,NA,12,NA,296.595,NA,0.5,0.5,0.103923049,NA,NA,NA,NA,0,0.17,NA,American English,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,drawings,NA,NA,NA,NA,NA,NA,NA,critical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Label advantage in concept learning,labadv,early_language,0,0.08333333333333333,0,0.07130208333333334,0,0.02083333333333333,0,0.1111111111111111,0,0.2741556778080377,group_means_one,296.595,12,balaban1997 50,NA,9.744594344853075,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Label advantage in concept learning,American English,typical,typical,monolingual,NA,eye-tracking,forced-choice,looking_time,yes,looking,10,balaban1997,"Balaban, M. T., & Waxman, S. R. (1997). Do words facilitate object categorization in 9-month-old infants?. Journal of experimental child psychology, 64(1), 3-26.",Balaban & Waxman (1997),yes,Bria Long,2,word,51,familiarization,within_one,experimental,NA,12,NA,296.595,NA,0.56,0.5,0.138564065,NA,NA,NA,NA,0.43,0.17,NA,American English,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,drawings,NA,NA,NA,NA,NA,NA,NA,critical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Label advantage in concept learning,labadv,early_language,0.4330127006594391,0.0911458332888492,0.4005367481099812,0.07798665360777161,0.21160368418212175,0.01986059899318331,0.21484960881226867,0.1111111111111111,0.7853981611614322,0.2998577724561943,group_means_one,296.595,12,balaban1997 51,NA,9.744594344853075,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
